City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Padang,-0.9492,100.3543,80.6,83,40,2.3,ID,1619269685
Jamestown,42.097,-79.2353,50.0,49,1,9.22,US,1619269686
Talnakh,69.4865,88.3972,33.21,99,100,8.01,RU,1619269686
Rikitea,-23.1203,-134.9692,76.39,77,100,11.27,PF,1619269545
Punta Arenas,-53.15,-70.9167,46.4,87,0,9.22,CL,1619269353
Ushuaia,-54.8,-68.3,44.6,81,75,3.44,AR,1619269304
Hilo,19.7297,-155.09,69.8,88,75,6.91,US,1619269214
Arraial do Cabo,-22.9661,-42.0278,77.0,69,0,13.8,BR,1619269687
Vostok,46.4856,135.8833,33.84,58,100,3.13,RU,1619269533
Bluff,-46.6,168.3333,42.01,92,40,4.0,NZ,1619269687
Vardø,70.3705,31.1107,33.8,80,75,20.71,NO,1619269472
Kuznechnoye,61.12,29.8686,41.0,74,99,4.5,RU,1619269688
Port Keats,-14.25,129.55,74.19,32,45,9.06,AU,1619269688
Mossamedes,-15.1961,12.1522,85.19,66,94,9.89,AO,1619269688
Baruun-Urt,46.6806,113.2792,48.09,19,100,13.8,MN,1619269688
Albany,42.6001,-73.9662,55.0,33,78,13.0,US,1619269366
Palmas,-10.2128,-48.3603,77.0,94,75,3.44,BR,1619269506
Florø,61.5996,5.0328,41.0,56,75,10.36,NO,1619269689
Balikpapan,-1.2675,116.8289,80.19,71,43,5.01,ID,1619269690
Geraldton,-28.7667,114.6,68.0,88,90,8.05,AU,1619269466
Amapá,1.0,-52.0,81.75,76,100,2.39,BR,1619269690
Saldanha,-33.0117,17.9442,78.8,41,92,6.91,ZA,1619269533
Roald,62.5833,6.1333,39.0,87,40,4.61,NO,1619269690
Bandarbeyla,9.4942,50.8122,86.31,66,32,12.95,SO,1619269525
Hermanus,-34.4187,19.2345,75.0,58,100,1.99,ZA,1619269691
Ilulissat,69.2167,-51.1,37.4,60,75,4.61,GL,1619269519
Binga,-17.6203,27.3414,82.99,44,0,7.14,ZW,1619269691
Airai,-8.9266,125.4092,59.34,93,64,2.06,TL,1619269692
Dikson,73.5069,80.5464,20.8,93,100,26.49,RU,1619269692
San Jerónimo,-11.9472,-75.2829,49.51,75,5,1.19,PE,1619269692
Khandyga,62.6667,135.6,7.99,95,30,0.31,RU,1619269692
Barrow,71.2906,-156.7887,17.6,86,1,5.75,US,1619269414
Qaqortoq,60.7167,-46.0333,57.2,30,20,17.27,GL,1619269693
Hithadhoo,-0.6,73.0833,83.64,68,98,5.3,MV,1619269146
Mataura,-46.1927,168.8643,42.01,92,19,4.0,NZ,1619269457
Dhidhdhoo,6.8833,73.1,84.22,69,50,3.09,MV,1619269693
Erenhot,43.6475,111.9767,61.95,28,100,19.35,CN,1619269517
Pampa,35.5362,-100.9599,42.8,93,75,3.44,US,1619269694
Torbay,47.6666,-52.7314,45.0,70,75,17.27,CA,1619269529
Yantzaza,-3.8278,-78.7594,68.65,99,100,0.2,EC,1619269694
Nanortalik,60.1432,-45.2371,40.33,74,94,2.17,GL,1619269694
Cherskiy,68.75,161.3,23.34,96,100,4.59,RU,1619269434
Rocha,-34.4833,-54.3333,62.2,94,100,6.08,UY,1619269695
Grand Gaube,-20.0064,57.6608,80.01,82,100,8.99,MU,1619269468
Ust'-Koksa,50.2696,85.6108,30.25,88,100,4.76,RU,1619269456
Chirongui,-12.9319,45.1483,87.8,66,20,8.05,YT,1619269695
Kudahuvadhoo,2.6708,72.8944,83.82,64,18,9.51,MV,1619269696
Taltal,-25.4,-70.4833,62.6,74,0,1.45,CL,1619269696
Pinega,64.7001,43.3936,59.77,41,100,10.89,RU,1619269696
Hasaki,35.7333,140.8333,51.8,93,20,2.3,JP,1619269697
Castro,-24.7911,-50.0119,66.36,62,38,1.86,BR,1619269290
Valley,45.1277,-116.1262,35.6,75,90,2.98,US,1619269697
Chokurdakh,70.6333,147.9167,-10.97,99,8,3.8,RU,1619269455
French Harbor,16.35,-86.4333,82.99,74,0,19.57,HN,1619269698
Samfya,-11.3649,29.5565,79.16,46,20,4.52,ZM,1619269698
La Ronge,55.1001,-105.2842,14.0,67,16,5.75,CA,1619269550
Alice Springs,-23.7,133.8833,57.2,47,2,8.05,AU,1619269698
Lata,40.1629,-8.3327,68.0,62,100,7.0,PT,1619269562
Hobart,-42.8794,147.3294,51.01,66,40,5.75,AU,1619269222
Laagri,59.3508,24.6142,42.01,75,75,12.66,EE,1619269699
Guerrero Negro,27.9769,-114.0611,56.34,89,30,11.25,MX,1619269699
Carnarvon,-24.8667,113.6333,71.6,83,0,6.91,AU,1619269699
Mitú,1.1983,-70.1733,76.93,89,93,1.83,CO,1619269699
Balyqshy,47.0667,51.8667,64.4,55,75,17.9,KZ,1619269700
Tasiilaq,65.6145,-37.6368,39.2,60,75,4.61,GL,1619269430
Bereda,43.2686,-7.5406,72.0,57,100,8.99,ES,1619269427
Srednekolymsk,67.45,153.6833,12.58,94,100,11.36,RU,1619269497
Constitución,-35.3333,-72.4167,57.11,73,0,5.48,CL,1619269700
São Filipe,14.8961,-24.4956,73.0,71,62,11.43,CV,1619269701
Port Alfred,-33.5906,26.891,74.77,57,15,14.25,ZA,1619269431
Klamath Falls,42.2249,-121.7817,39.99,93,90,4.43,US,1619269701
Grand-Santi,4.25,-54.3833,77.47,92,93,2.33,GF,1619269701
Lubāna,56.9,26.7167,42.22,53,100,14.0,LV,1619269701
Inhambane,-23.865,35.3833,82.4,47,20,7.58,MZ,1619269488
Pevek,69.7008,170.3133,10.83,93,100,2.93,RU,1619269495
Santa Cruz del Sur,20.7147,-77.9956,80.56,65,18,15.12,CU,1619269566
Aklavik,68.2191,-135.0107,30.2,64,100,5.75,CA,1619269702
San Patricio,28.017,-97.5169,75.2,94,90,3.44,US,1619269405
Touros,-5.1989,-35.4608,84.2,70,40,8.05,BR,1619269511
Mount Gambier,-37.8333,140.7667,50.0,100,75,5.75,AU,1619269703
Suntar,62.1444,117.6319,32.2,92,12,5.91,RU,1619269703
Ankazobe,-18.3167,47.1167,71.6,64,75,14.97,MG,1619269703
Berlevåg,70.8578,29.0864,34.92,69,100,11.99,NO,1619269533
Laguna,38.421,-121.4238,50.0,76,90,20.71,US,1619269419
Asău,46.4333,26.4,55.99,29,89,4.79,RO,1619269704
Codrington,-38.2667,141.9667,52.43,84,100,5.12,AU,1619269704
Grindavik,63.8424,-22.4338,48.2,81,90,21.85,IS,1619269704
Leningradskiy,69.3833,178.4167,19.06,96,100,3.71,RU,1619269705
Mar del Plata,-38.0023,-57.5575,66.99,88,40,8.05,AR,1619269169
Namie,37.4833,141.0,55.0,73,100,9.42,JP,1619269705
Ouricuri,-7.8825,-40.0817,83.48,58,40,5.77,BR,1619269705
Tuktoyaktuk,69.4541,-133.0374,14.45,96,100,5.66,CA,1619269430
Nome,64.5011,-165.4064,28.4,86,75,3.78,US,1619269492
Haines Junction,60.7522,-137.5108,21.2,93,12,1.14,CA,1619269706
East London,-33.0153,27.9116,73.4,56,0,9.22,ZA,1619269180
Port Elizabeth,-33.918,25.5701,69.8,68,0,8.05,ZA,1619269522
Skjervøy,70.0311,20.9714,34.43,59,100,16.35,NO,1619269706
Te Anau,-45.4167,167.7167,44.56,87,66,5.95,NZ,1619269706
Qaanaaq,77.484,-69.3632,22.91,64,100,10.18,GL,1619269707
Atlantic City,39.3643,-74.4229,57.2,44,1,6.91,US,1619269707
Kyabé,9.4515,18.9449,101.5,24,99,3.74,TD,1619269707
Mangochi,-14.4782,35.2645,81.93,56,19,2.98,MW,1619269707
Yaqui,27.3667,-110.1667,51.8,54,1,3.58,MX,1619269708
Cape Town,-33.9258,18.4232,73.0,53,0,10.36,ZA,1619269437
Nola,40.922,14.5329,70.0,32,20,12.66,IT,1619269708
Anuradhapura,8.3565,80.4173,82.18,72,91,4.65,LK,1619269708
Trincomalee,8.5711,81.2335,84.54,72,9,9.73,LK,1619269709
Dali,25.7,100.1833,66.65,33,0,7.09,CN,1619269709
Namatanai,-3.6667,152.4333,78.76,81,41,7.43,PG,1619269471
Kurchum,48.5722,83.6542,43.86,36,70,11.27,KZ,1619269471
Emba,48.8264,58.1442,52.0,66,100,17.72,KZ,1619269709
Sola,-13.8833,167.55,80.6,94,90,12.35,VU,1619269461
Bredasdorp,-34.5322,20.0403,64.4,68,100,4.61,ZA,1619269710
Valparaíso,-33.0393,-71.6273,55.99,100,0,5.75,CL,1619269710
Buin,-33.7333,-70.75,60.01,93,0,1.14,CL,1619269710
Contamana,-7.3333,-75.0167,77.61,85,26,2.42,PE,1619269711
Tabas,33.5959,56.9244,94.68,10,100,1.99,IR,1619269470
Dolores,-36.3132,-57.6792,64.02,84,75,12.97,AR,1619269711
Mahébourg,-20.4081,57.7,78.8,89,75,11.5,MU,1619269711
Dunedin,-45.8742,170.5036,48.99,84,23,3.0,NZ,1619269505
Ostrovnoy,68.0531,39.5131,38.71,99,100,6.82,RU,1619269712
Maniitsoq,65.4167,-52.9,37.92,66,0,3.02,GL,1619269712
Biharamulo,-2.6319,31.3089,71.71,75,100,4.99,TZ,1619269712
Yangi Marg`ilon,40.4272,71.7189,73.4,15,100,4.61,UZ,1619269712
Tuatapere,-46.1333,167.6833,42.01,92,76,4.0,NZ,1619269713
Feira de Santana,-12.2667,-38.9667,83.44,61,50,7.4,BR,1619269495
Merauke,-8.4667,140.3333,80.98,83,97,10.98,ID,1619269713
Departamento de Maldonado,-34.6667,-54.9167,64.99,94,90,3.44,UY,1619269713
Two Rivers,44.1539,-87.5693,50.0,81,90,4.61,US,1619269714
Hirara,24.8,125.2833,71.83,76,100,20.33,JP,1619269714
Cidreira,-30.1811,-50.2056,72.43,71,76,12.1,BR,1619269451
Revda,56.801,59.9303,53.6,35,40,15.66,RU,1619269715
Coquimbo,-29.9533,-71.3436,57.2,77,0,3.44,CL,1619269715
Ribeira Grande,38.5167,-28.7,60.8,59,75,8.05,PT,1619269435
Kloulklubed,7.0419,134.2556,82.4,83,75,6.91,PW,1619269556
Shimoda,34.6667,138.95,51.01,79,68,1.01,JP,1619269715
Lewistown,40.5992,-77.5714,52.0,62,54,3.4,US,1619269715
Srīvardhan,18.0333,73.0167,84.85,60,10,14.65,IN,1619269716
George Town,5.4112,100.3354,84.2,70,20,5.75,MY,1619269716
Lorengau,-2.0226,147.2712,80.65,77,97,4.32,PG,1619269442
Lebu,-37.6167,-73.65,52.56,83,10,12.17,CL,1619269716
Dingle,10.9995,122.6711,78.71,81,79,3.29,PH,1619269430
Esperance,-33.8667,121.9,62.6,77,100,8.05,AU,1619269717
Brazzaville,-4.2658,15.2832,87.8,58,40,4.61,CG,1619269717
Midleton,51.9153,-8.1805,53.6,66,0,18.41,IE,1619269718
Oriximiná,-1.7656,-55.8661,79.52,87,78,1.39,BR,1619269718
Poretskoye,55.1974,46.3291,54.64,61,100,15.19,RU,1619269718
Kavaratti,10.5669,72.642,85.3,68,7,7.52,IN,1619269718
Cuamba,-14.8031,36.5372,82.42,50,52,4.56,MZ,1619269719
Mount Isa,-20.7333,139.5,77.0,29,23,12.66,AU,1619269719
Karaton,-6.3424,106.1045,84.2,70,20,3.44,ID,1619269575
Ponta do Sol,32.6667,-17.1,68.0,60,75,6.91,PT,1619269719
São Lourenço da Serra,-23.8525,-46.9425,71.01,77,75,2.3,BR,1619269720
Poum,-20.2333,164.0167,78.57,79,92,9.78,NC,1619269545
Pueblo Nuevo,23.3833,-105.3833,45.86,24,6,7.56,MX,1619269720
Finschhafen,-6.6024,147.8681,79.65,82,56,4.18,PG,1619269720
Gobabis,-22.45,18.9667,76.33,14,0,4.41,NA,1619269721
Nikolskoye,59.7035,30.7861,44.01,61,75,4.47,RU,1619269546
Tari,12.4086,4.4914,106.34,12,19,3.83,NG,1619269721
Riyadh,24.6877,46.7219,100.4,10,0,5.75,SA,1619269721
Saint-Philippe,-21.3585,55.7679,80.6,78,75,27.63,RE,1619269454
Tazovsky,67.4667,78.7,32.23,94,100,10.98,RU,1619269722
Ginda,30.6945,78.4932,51.17,81,100,7.78,IN,1619269722
Yerbogachën,61.2767,108.0108,31.03,91,100,1.66,RU,1619269722
Vao,-22.6667,167.4833,76.26,67,100,9.71,NC,1619269722
Rubtsovsk,51.5,81.25,46.38,37,53,4.38,RU,1619269723
Tiksi,71.6872,128.8694,26.15,92,100,10.49,RU,1619269434
Chui,-33.6971,-53.4616,67.75,84,100,8.77,UY,1619269723
Meulebeke,50.95,3.2938,57.0,50,41,10.0,BE,1619269723
Maningrida,-12.0667,134.2667,73.8,55,43,9.48,AU,1619269724
Nizhnevartovsk,60.9344,76.5531,42.8,87,100,2.24,RU,1619269724
Sittwe,20.15,92.9,83.75,74,2,14.09,MM,1619269724
Sitka,57.0531,-135.33,44.6,49,20,5.75,US,1619269725
Severo-Kuril'sk,50.6789,156.125,35.76,94,100,4.65,RU,1619269725
Pyshchug,58.8873,45.7134,54.64,54,99,10.0,RU,1619269725
Rabo de Peixe,37.8,-25.5833,59.0,77,75,16.11,PT,1619269726
Provideniya,64.3833,-173.3,32.36,87,100,0.63,RU,1619269726
Senanga,-16.1167,23.2667,88.29,26,15,1.23,ZM,1619269726
Buchanan,5.8808,-10.0467,89.6,66,75,5.75,LR,1619269726
Upington,-28.4478,21.2561,89.6,12,0,4.61,ZA,1619269727
Gidrotorf,56.4744,43.5414,61.0,51,75,15.66,RU,1619269727
Beisfjord,68.3751,17.5988,37.4,60,75,12.66,NO,1619269727
Yellowknife,62.456,-114.3525,7.0,78,20,3.44,CA,1619269727
Fort Myers Beach,26.452,-81.9481,79.0,83,1,11.5,US,1619269578
Yeppoon,-23.1333,150.7333,69.8,73,90,2.3,AU,1619269728
Shingū,33.7333,135.9833,53.6,86,5,4.14,JP,1619269728
Mana,5.6592,-53.7767,76.41,91,100,8.97,GF,1619269729
Vila,42.0304,-8.1588,70.0,63,98,1.99,PT,1619269729
Nouadhibou,20.931,-17.0347,75.2,60,0,12.66,MR,1619269729
Bethel,41.3712,-73.414,59.0,33,1,5.75,US,1619269524
Carballo,43.213,-8.691,71.6,60,40,9.22,ES,1619269438
Adamantas,36.7333,24.4333,62.6,77,100,24.16,GR,1619269730
Broken Hill,-31.95,141.4333,59.0,51,0,9.22,AU,1619269434
Constantine,36.365,6.6147,68.0,45,75,6.91,DZ,1619269731
Mackay,-21.15,149.2,69.8,94,90,8.05,AU,1619269731
Narsaq,60.9167,-46.05,57.2,30,20,17.27,GL,1619269731
Faya,18.3851,42.4509,75.2,28,40,8.05,SA,1619269732
Vladivostok,43.1056,131.8735,35.6,80,0,2.24,RU,1619269722
Margate,51.3813,1.3862,57.0,76,14,5.99,GB,1619269732
Fairbanks,64.8378,-147.7164,33.8,64,1,9.22,US,1619269733
Ngaoundéré,7.3167,13.5833,84.6,47,90,3.85,CM,1619269733
Bajil,15.0584,43.2851,96.58,30,43,8.5,YE,1619269733
Portland,45.5234,-122.6762,48.2,81,90,4.61,US,1619269543
Port Hardy,50.6996,-127.4199,44.6,100,90,2.3,CA,1619269734
Seminole,28.7086,-81.2081,73.99,78,1,11.5,US,1619269734
Biu,10.6129,12.1946,96.03,27,100,9.06,NG,1619269735
Hofn,64.2539,-15.2082,46.2,75,100,3.8,IS,1619269735
Lydenburg,-25.0978,30.4597,64.0,37,92,1.99,ZA,1619269736
Westport,41.1415,-73.3579,59.0,58,1,6.91,US,1619269649
Lakatoro,-16.0999,167.4164,80.55,83,100,7.61,VU,1619269736
Quryq,43.2,51.65,64.27,41,8,5.23,KZ,1619269737
Norman Wells,65.282,-126.8329,24.8,80,75,2.3,CA,1619269737
Ambad,19.6167,75.8,98.6,22,20,2.3,IN,1619269632
NEDJO,9.5046,35.5019,69.46,62,100,1.39,ET,1619269738
Alberton,46.8168,-64.0654,44.6,53,19,16.11,CA,1619269482
Gejiu,23.306,103.1635,65.41,43,100,3.85,CN,1619269739
Malindi,-3.2175,40.1191,87.8,70,40,23.02,KE,1619269739
Albina,5.5,-54.05,75.22,97,100,3.44,SR,1619269739
Lompoc,34.6391,-120.4579,50.0,81,25,3.96,US,1619269466
Rome,43.2128,-75.4557,53.01,61,1,8.52,US,1619269628
Nuuk,64.1835,-51.7216,39.2,65,20,3.44,GL,1619269740
Puerto Madryn,-42.7692,-65.0385,53.94,64,0,10.2,AR,1619269740
Almaznyy,48.0448,40.045,59.0,33,40,20.13,RU,1619269741
Fort Nelson,58.8053,-122.7002,19.4,79,40,1.28,CA,1619269741
Vestmannaeyjar,63.4427,-20.2734,44.6,93,90,19.57,IS,1619269741
Pochutla,15.7432,-96.4661,77.0,78,40,11.5,MX,1619269742
Jászberény,47.5,19.9167,63.0,34,28,1.01,HU,1619269742
Ţahţā,26.7693,31.5021,95.0,14,0,16.11,EG,1619269742
Carnaíba,-8.7,-37.6667,84.42,54,32,8.37,BR,1619269743
Carlsbad,33.1581,-117.3506,59.0,82,90,2.21,US,1619269743
Afşin,38.2477,36.914,72.84,19,45,1.21,TR,1619269744
Province of Trapani,37.8333,12.6667,64.4,68,40,17.27,IT,1619269744
Sørland,67.667,12.6934,37.4,60,75,14.97,NO,1619269745
Imbituba,-28.24,-48.6703,73.4,73,20,4.61,BR,1619269545
Avarua,-21.2078,-159.775,77.0,83,75,13.8,CK,1619269437
Viedma,-40.8135,-62.9967,59.7,60,64,19.64,AR,1619269544
Kavieng,-2.5744,150.7967,81.27,76,10,7.29,PG,1619269746
Klaksvík,62.2266,-6.589,48.2,87,75,6.91,FO,1619269746
Troy,42.6056,-83.1499,52.0,53,90,3.44,US,1619269469
Victor Harbor,-35.5667,138.6167,59.0,74,21,4.41,AU,1619269746
Herne Bay,51.373,1.1286,57.0,76,13,5.99,GB,1619269747
Huanren,41.2647,125.3667,47.82,55,7,7.14,CN,1619269517
Bambous Virieux,-20.3428,57.7575,80.01,89,75,11.5,MU,1619269486
Souillac,-20.5167,57.5167,78.8,89,75,11.5,MU,1619269747
Yopal,5.3378,-72.3959,85.77,49,25,1.43,CO,1619269748
Manggar,-2.8833,108.2667,81.97,72,9,6.44,ID,1619269748
Pisco,-13.7,-76.2167,66.2,88,0,1.95,PE,1619269497
Yar-Sale,66.8333,70.8333,33.75,93,99,5.82,RU,1619269748
Hervey Bay,-25.2986,152.8535,64.4,72,0,6.91,AU,1619269749
Longyearbyen,78.2186,15.6401,26.6,63,75,8.05,SJ,1619269542
Husavik,66.0449,-17.3389,53.6,54,0,5.75,IS,1619269749
Kailua,21.4022,-157.7394,73.4,73,75,10.36,US,1619269750
Borogontsy,62.6683,131.1683,11.59,98,52,4.18,RU,1619269751
Qandala,11.472,49.8728,85.51,67,100,4.79,SO,1619269751
Dunhua,43.3725,128.2425,38.71,36,0,4.07,CN,1619269751
Shetpe,44.1667,52.1167,70.74,23,78,3.6,KZ,1619269751
Saint Paul Harbor,57.79,-152.4072,39.2,93,90,4.61,US,1619269752
Roela,59.1667,26.5926,37.69,83,98,6.24,EE,1619269752
Klyuchi,52.2667,79.1667,48.13,34,8,4.59,RU,1619269753
Port Hedland,-20.3167,118.5667,73.4,73,0,4.61,AU,1619269455
Yulara,-25.2406,130.9889,62.6,42,18,5.75,AU,1619269438
Sri Aman,1.2376,111.4621,82.4,83,95,2.42,MY,1619269753
Zalţan,32.947,11.8665,66.88,60,0,17.4,LY,1619269754
North Bend,43.4065,-124.2243,46.99,100,90,6.91,US,1619269754
Faanui,-16.4833,-151.75,80.13,74,100,7.81,PF,1619269754
Tarakan,3.3,117.6333,84.2,74,20,5.75,ID,1619269755
St. George's,12.0564,-61.7485,84.2,70,20,19.57,GD,1619269755
Meulaboh,4.1363,96.1285,75.87,91,100,6.8,ID,1619269467
Kiama,-34.6833,150.8667,54.0,89,39,1.99,AU,1619269755
Āsosa,10.0667,34.5333,67.39,70,100,3.91,ET,1619269756
Ayan,56.45,138.1667,26.91,76,99,10.25,RU,1619269756
Nanton,50.3501,-113.7687,28.4,86,100,3.44,CA,1619269756
Sinnamary,5.3833,-52.95,78.33,88,100,12.15,GF,1619269756
Tura,25.5198,90.2201,80.71,29,100,3.38,IN,1619269477
Linqing,36.8456,115.7117,58.08,63,100,8.48,CN,1619269757
Kumul,42.8,93.45,57.76,19,0,11.01,CN,1619269527
Fortuna,40.5982,-124.1573,48.0,100,90,4.99,US,1619269757
Huarmey,-10.0681,-78.1522,67.6,86,5,8.03,PE,1619269757
Pangnirtung,66.1451,-65.7125,35.17,78,42,0.76,CA,1619269758
Butaritari,3.0707,172.7902,82.04,75,100,8.52,KI,1619269758
Sisimiut,66.9395,-53.6735,37.98,63,14,5.48,GL,1619269758
Tāybād,34.74,60.7756,77.81,17,14,24.92,IR,1619269759
Camacupa,-12.0167,17.4833,78.67,44,100,3.09,AO,1619269759
Hacarí,8.3233,-73.1489,70.97,80,64,3.2,CO,1619269759
Necochea,-38.5473,-58.7368,64.0,71,0,10.0,AR,1619269760
Nawalgarh,27.85,75.2667,89.13,11,0,12.3,IN,1619269760
Sayyan,15.1718,44.3244,71.19,24,100,4.72,YE,1619269760
Muroto-misakicho,33.2833,134.15,62.35,66,1,2.73,JP,1619269546
Trebinje,42.7119,18.3442,62.6,36,0,10.36,BA,1619269760
Udachny,66.4167,112.4,33.01,86,100,9.13,RU,1619269761
Bograd,54.2344,90.8328,44.6,39,40,6.71,RU,1619269761
Tigil',57.8,158.6667,28.6,95,100,4.85,RU,1619269761
Svetlaya,46.5389,138.3297,34.2,93,80,1.92,RU,1619269762
Chapais,49.7834,-74.8492,33.8,51,1,12.66,CA,1619269557
Beringovskiy,63.05,179.3167,23.2,98,90,3.8,RU,1619269500
Ambilobe,-13.2,49.05,86.04,64,44,6.49,MG,1619269762
Angoche,-16.2325,39.9086,79.41,72,45,10.38,MZ,1619269762
Kumluca,36.3703,30.2869,76.26,40,100,4.59,TR,1619269763
Reutte,47.4833,10.7167,64.99,30,12,1.99,AT,1619269763
Casablanca,33.5928,-7.6192,73.4,64,40,6.91,MA,1619269469
Vila Velha,-20.3297,-40.2925,80.6,65,20,4.61,BR,1619269763
Havelock,34.8791,-76.9013,61.0,85,100,1.16,US,1619269546
Isangel,-19.55,169.2667,78.46,80,93,10.11,VU,1619269764
Bilma,18.6853,12.9164,106.99,5,7,11.05,NE,1619269764
Katsuura,35.1333,140.3,61.0,63,40,12.66,JP,1619269433
Wewak,-3.5534,143.6268,79.81,83,17,5.01,PG,1619269764
Altay,47.8667,88.1167,29.59,56,94,7.47,CN,1619269547
Ancud,-41.8697,-73.8203,46.4,93,90,9.22,CL,1619269485
Saint-Joseph,-21.3667,55.6167,80.6,78,75,27.63,RE,1619269765
At-Bashi,41.1702,75.8106,48.67,34,99,2.73,KG,1619269765
Coyhaique,-45.5752,-72.0662,48.2,87,75,6.91,CL,1619269765
Leh,34.1667,77.5833,32.99,24,1,5.59,IN,1619269766
Severo-Yeniseyskiy,60.3725,93.0408,32.2,97,100,1.41,RU,1619269766
Marawi,7.9986,124.2928,80.01,84,34,5.99,PH,1619269766
Adigeni,41.6819,42.6987,68.0,49,0,16.11,GE,1619269767
Hambantota,6.1241,81.1185,84.2,94,40,6.91,LK,1619269767
Malumfashi,11.7853,7.6218,99.57,17,98,6.64,NG,1619269767
Assiut,27.181,31.1837,89.6,25,0,11.5,EG,1619269767
Bonavista,48.6499,-53.1147,42.01,81,85,9.22,CA,1619269768
Xining,36.6167,101.7667,42.53,78,95,12.21,CN,1619269768
Soma,39.1855,27.6094,75.0,68,75,8.05,TR,1619269769
Igarka,67.4667,86.5833,32.88,98,100,9.78,RU,1619269769
Eydhafushi,5.1033,73.0708,84.02,71,24,7.05,MV,1619269770
Chota,-6.55,-78.65,57.2,82,20,2.3,PE,1619269770
Mandalgovi,45.7625,106.2708,49.75,84,100,4.56,MN,1619269771
Bilibino,68.0546,166.4372,21.29,94,100,2.13,RU,1619269543
Buriti,-22.9302,-45.3881,64.4,88,90,2.3,BR,1619269771
Calvià,39.5657,2.5062,72.0,68,40,10.36,ES,1619269772
Halifax,44.6453,-63.5724,54.0,53,7,17.27,CA,1619269512
Egvekinot,66.3167,-179.1667,19.2,82,98,1.07,RU,1619269772
Kaitangata,-46.2817,169.8464,46.0,87,11,1.99,NZ,1619269773
Evensk,61.95,159.2333,26.87,92,100,5.64,RU,1619269773
Cabo San Lucas,22.8909,-109.9124,62.6,55,1,3.85,MX,1619269773
Honningsvåg,70.9821,25.9704,32.56,82,100,24.27,NO,1619269774
Podporozh'ye,60.9112,34.1706,45.45,63,100,4.63,RU,1619269774
Galesong,-5.3166,119.3661,80.6,100,20,4.61,ID,1619269774
Atar,20.5169,-13.0499,91.4,21,0,9.22,MR,1619269775
Saint George,37.1041,-113.5841,59.0,26,1,8.05,US,1619269775
Weihe,32.9952,105.3247,52.9,85,100,4.81,CN,1619269776
Mahibadhoo,3.7833,72.9667,84.02,71,92,9.1,MV,1619269776
Romny,50.751,33.4747,44.22,46,100,19.86,UA,1619269776
Río Gallegos,-51.6226,-69.2181,39.2,87,0,3.44,AR,1619269777
Amnat Charoen,15.9167,104.75,91.99,58,94,6.26,TH,1619269777
Wajima,37.4,136.9,55.2,81,100,6.67,JP,1619269777
Pula,44.8683,13.8481,68.0,28,0,14.97,HR,1619269778
Saint Paul,44.9444,-93.0933,39.0,93,90,11.5,US,1619269552
Esim,4.8699,-2.2405,86.7,67,97,8.68,GH,1619269778
Barcelos,41.5388,-8.6151,69.01,72,75,6.91,PT,1619269779
Meuselwitz,51.05,12.3,54.0,57,90,5.75,DE,1619269779
Bubaque,11.2833,-15.8333,79.29,54,2,6.29,GW,1619269779
Mādārīpur,23.1753,90.2072,92.59,16,2,8.14,BD,1619269507
Voznesenskoye,54.89,42.7569,52.97,73,100,10.42,RU,1619269780
Tessalit,20.1986,1.0114,102.49,4,0,7.96,ML,1619269780
